,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_aggr_hier[Juan Martin Del Potro],0.761,0.129,0.519,1.001,0.001,0.002,16832.0,6318.0,1.0
beta_aggr_hier[Karen Khachanov],0.813,0.124,0.583,1.049,0.001,0.001,14942.0,6723.0,1.0
beta_aggr_hier[Kei Nishikori],0.625,0.122,0.404,0.861,0.001,0.001,9385.0,5992.0,1.0
beta_aggr_hier[Kevin Anderson],0.991,0.112,0.795,1.213,0.001,0.001,9731.0,6470.0,1.0
beta_aggr_hier[Lorenzo Musetti],0.662,0.13,0.411,0.899,0.001,0.001,12366.0,6159.0,1.0
beta_aggr_hier[Lorenzo Sonego],0.7,0.165,0.381,0.994,0.001,0.002,14170.0,5804.0,1.0
beta_aggr_hier[Lucas Pouille],0.733,0.133,0.475,0.98,0.001,0.002,16457.0,6373.0,1.0
beta_aggr_hier[Mackenzie Mcdonald],0.65,0.154,0.356,0.929,0.001,0.002,12616.0,6277.0,1.0
beta_aggr_hier[Marin Cilic],0.935,0.115,0.727,1.167,0.001,0.001,10543.0,6106.0,1.0
beta_aggr_hier[Marton Fucsovics],0.764,0.146,0.487,1.03,0.001,0.002,18045.0,6102.0,1.0
beta_aggr_hier[Matteo Berrettini],0.859,0.114,0.657,1.084,0.001,0.001,14834.0,6889.0,1.0
beta_aggr_hier[Mikhail Kukushkin],0.662,0.154,0.367,0.944,0.001,0.002,12488.0,6216.0,1.0
beta_aggr_hier[Milos Raonic],0.861,0.097,0.685,1.045,0.001,0.001,11638.0,6579.0,1.0
beta_aggr_hier[Nick Kyrgios],0.825,0.121,0.591,1.043,0.001,0.001,12422.0,6249.0,1.0
beta_aggr_hier[Nicolas Mahut],0.703,0.154,0.413,0.997,0.001,0.002,16360.0,5603.0,1.0
beta_aggr_hier[Novak Djokovic],0.73,0.074,0.589,0.867,0.001,0.001,14676.0,7014.0,1.0
beta_aggr_hier[Rafael Nadal],0.749,0.1,0.575,0.946,0.001,0.001,14762.0,6414.0,1.0
beta_aggr_hier[Richard Gasquet],0.777,0.177,0.418,1.085,0.001,0.003,18223.0,5622.0,1.0
beta_aggr_hier[Roberto Bautista Agut],0.686,0.118,0.47,0.912,0.001,0.001,12458.0,6368.0,1.0
beta_aggr_hier[Roger Federer],0.937,0.092,0.767,1.113,0.001,0.001,12704.0,6477.0,1.0
beta_aggr_hier[Roman Safiullin],0.672,0.144,0.412,0.944,0.001,0.002,14160.0,6579.0,1.0
beta_aggr_hier[Sam Querrey],0.903,0.105,0.698,1.092,0.001,0.001,12720.0,6398.0,1.0
beta_aggr_hier[Sebastian Korda],0.683,0.149,0.38,0.944,0.001,0.002,12942.0,6198.0,1.0
beta_aggr_hier[Stefanos Tsitsipas],0.743,0.137,0.484,0.994,0.001,0.002,15416.0,6546.0,1.0
beta_aggr_hier[Steve Johnson],0.654,0.161,0.338,0.946,0.001,0.002,12250.0,6098.0,1.0
beta_aggr_hier[Taylor Fritz],0.761,0.121,0.528,0.979,0.001,0.001,15748.0,7006.0,1.0
beta_aggr_hier[Tennys Sandgren],0.726,0.149,0.439,1.005,0.001,0.002,18053.0,6441.0,1.0
beta_aggr_hier[Tim Van Rijthoven],0.631,0.154,0.342,0.912,0.001,0.002,11873.0,6106.0,1.0
beta_aggr_hier[Tomas Berdych],1.029,0.127,0.795,1.269,0.001,0.001,9351.0,6538.0,1.0
beta_aggr_hier[Tommy Paul],0.651,0.142,0.386,0.916,0.001,0.002,13362.0,6401.0,1.0
beta_aggr_hier[Ugo Humbert],0.686,0.146,0.421,0.967,0.001,0.002,15561.0,6311.0,1.0
